Hate Speech,Target,Category,Counterspeech
I do not want muslims in my country. They mustn't be part of society.,MUSLIMS,Question,Why do you think that Muslims are a problem in our country?
"Women are basically childlike, incapable of serious thought and emotion.",WOMEN,Facts,"Women are not childlike, they are just different from us in many ways."
We should eliminate gays.,LGBT+,Question,Why should we? They are human and deserve to live.
"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",MUSLIMS,Facts,Islam is a religion of peace. It is not a religion of war.
"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.",JEWS,Question,How can you say this about a religion?
"Migrants are violent people, they are not welcome here.",MIGRANTS,Facts,"Migrants are not violent people, they are just seeking to integrate."
Jewish landlords are greedy and exploit their tenants.,JEWS,Humor,I would love to see a study done on this. I would love to see a study done on this.
"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?",DISABLED,Denouncing,You are wrong to think that we should be able to help ourselves.
"Black folks are inferior, and they are happy with it.",POC,Positive,"I don't know many black people, but I don't think they are inferior. They are just happy to be part of our society."
Islam is a a cancer in the western world.,MUSLIMS,Positive,Islam is a religion of peace. It is not a cancer.
"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers.",WOMEN,Question,"Do you really wish that there were only men in your world in which only women could be lawyers, lawyers, and teachers?"
Jews had advance knowledge of the 9/11 attacks and said nothing.,JEWS,Humor,I would like to point out that the Jews have never been to war with us!
"Migrants are violent people, they are not welcome here.",MIGRANTS,Question,Do you have any evidence that migrants are violent towards anyone?
"Asians are lazy, unintelligent and unpleasant people.",OTHER,Denouncing,This is not true. Asians are very different from us in many ways. They are different from us in many ways. They are different in so many ways that it is hard to discern their characteristics.
"Honestly, it is not convenient for colored people to work in European countries.",MIGRANTS,Question,Why do you think it is a good idea to discriminate against people based on their skin color?
We must not allow people to come into our country and start killing people. They are all terrorists.,MUSLIMS,Facts,"Terrorism is a problem in many countries, and it is a problem in the UK, too. We should not allow people to be terrorists."
"Women are subhuman, they should go back to their lower birth place, that is all.",WOMEN,Question,Do you really think that women are subhuman?
"Fagshit, two men cannot replace a man and a woman",LGBT+,Question,How can you say that about a man and a woman?
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",POC,Question,"Do you have any evidence that shows that blacks are more likely to be criminals, promiscuous sex addicts, and physically and mentally handicapped?"
Jews secretly run our government.,JEWS,Question,How can you say this about a religion?
Gypsies like living in trailer parks.,OTHER,Facts,People from any other country have the right to live and work in their own country.
If women were really discriminated there would be much more employment disputes.,WOMEN,Denouncing,This is not true. There are many women who are able to work and still have jobs.
"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion.",MUSLIMS,Facts,"Islam is a religion, not a totalitarian ideology."
Jews are making too much money.,JEWS,Humor,I don't think Jews are making enough money to live on their own planet.
"If a woman does not want to be submissive to men, then she is a bitch.",WOMEN,Facts,Women are not bitchy. They are just interested in what men want to do with their bodies.
Muslims will never have a place in the modern European community.,MUSLIMS,Question,Why do you think that Muslims are incompatible with Western society?
Negroes are nothing but trouble to white people.,POC,Question,Why do you think that they are trouble to whites?
This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,MIGRANTS,Question,Why do you think that we can't coexist with millions of strangers that do not want to integrate?
We should justify hatred when it is against faggots.,LGBT+,Positive,We should not be so harsh on people who are different from us. We should be more compassionate towards them.
"Immigrants are not welcome in our country. They take our jobs, they take our country. They are not welcome here.",MIGRANTS,Facts,Immigrants are not 'taking our country'. They are just here to work.
Muslim are animals and parisite to our welfare.,MUSLIMS,Facts,"Muslims are not animals, they are just different from us in many ways."
Women need to accept that they are weak and inferior.,WOMEN,Facts,"Women are not weak, they just need to accept that they are inferior."
Blacks are genetically less rational than other races.,POC,Question,Why do you think that they are less rational than other races?
"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.",LGBT+,Question,Why do you think that they should stop acting like princesses?
"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",MUSLIMS,Question,What is the point of worshipping a religion if you cannot control it?
All Arabs are terrorists.,OTHER,Facts,"Terrorism is a tactic used to subvert a group of people, and it is not a matter of nationality."
Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,MUSLIMS,Facts,Islam is a religion of peace. It is not a totalitarian ideology.
"I'm tired of seeing gay people around, they should be let alone.",LGBT+,Humor,I am tired of seeing people like you around. Let's all go home.
"Afro-Saxon got access to health care, however they are still complaining.",POC,Facts,The fact that there is a problem with access to health care is not a reason to be against it.
"Women are less rational than men, they are childlike, and they are unable to reason.",WOMEN,Humor,I don't think you understand the concept of rationality.
Women are just a burden to society.,WOMEN,Facts,Women are not a burden to society. They are just human beings with full human rights.
migrants rape our women.,MIGRANTS,Humor,I don't think you understand the concept of rape.
I cannot stand women complaining about work discrimination. Women have been legalised to work.,WOMEN,Humor,I cannot stand women complaining about discrimination.
We should first kill all the Jews and then forget about them.,JEWS,Facts,"The Jews have been persecuted for centuries, and they deserve to be persecuted as well."
"The Nazis killed 6 million Jews, but it wasn't enough. The world would be a better place without those horrible Jews.",JEWS,Question,How can you say that about a group that has been around for hundreds of years?
"When the West gives in to Islam, they will replace us.",MUSLIMS,Positive,Islam is a religion of peace. It is not a religion of violence.
This country is run by Muslims!,MUSLIMS,Denouncing,"This is not true. Muslims are a part of our society, and they are not a problem in our country."
"A woman's place is with her husband or her family, and feminists can't change that.",WOMEN,Question,Do you really think that women can't be part of society?
Mentally disabled folks are completely useless.,DISABLED,Question,Do you really think that disabled people are completely useless?
"Blacks are born subhuman, incapable of feeling love.",POC,Question,What about the fact that they are born subhuman and cannot feel love?
Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,DISABLED,Positive,We should not blame people for their mental illness. It is not okay to blame someone else for their problems.
Women only want top men because they are weak.,WOMEN,Humor,I don't think you understand the concept of equality.
Islam is a political ideology and ideology of conquest.,MUSLIMS,Denouncing,This is not true. Islam is a religion of peace.
"The West became great thanks to the hard struggle for freedom, but now it is sacrificing its values to the interests of some stupid Muslim.",MUSLIMS,Question,Why do you think that the West is a bad influence on the world?
Feminists are bad for the family.,WOMEN,Positive,Feminists are good for the family. They are not bad for the economy.
I hate it when gay people think they can just 'mock' us with their 'sodomy'.,LGBT+,Denouncing,I don't think gay people are inherently homophobic. They are just different from us in many ways.
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,JEWS,Humor,I don't think you know what holocaust means. 
The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,POC,Facts,"The problem is not about race, but about the lack of education and access to basic services."
What are you going to do about Muslims invading us? We are already too small. They will overcome us.,MUSLIMS,Denouncing,We are not going to have a problem with Muslims invading us. We are not going to have a problem with Muslims invading our country.
Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,MIGRANTS,Denouncing,"This is not true. The majority of our population is male, and we have a lot of them."
Homosexuals are less than human.,LGBT+,Question,Do you have any evidence that homosexuals are less than human?
Feminists are bad for the family.,WOMEN,Facts,"Feminism is about equality, not about oppressing men."
Faggots are dangerous.Children hould not be left alone with these animals.,LGBT+,Positive,Children are not the problem. They are human beings who deserve respect and protection.
Islam is a violent religion and every Muslim is a potential terrorist.,MUSLIMS,Facts,The Quran does not condone violence. It is a peaceful book that respects human rights.
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",MUSLIMS,Denouncing,"You are wrong to say that. Islam is a religion of peace, and it is a peaceful religion."
It is OK to abuse a woman.,WOMEN,Humor,I would like to express my opinion that this is OK to abuse a woman.
You'd better shy away from Islam because they are dangerous.,MUSLIMS,Denouncing,I don't think you can say that about any religion.
"We don't want foreigners, we don't want Islam. They are just troublemakers!",OTHER,Question,Why do you think that we don't want foreigners in our country?
"Migrants are a burden to the host country, they are not welcome and we should remove them.",MIGRANTS,Facts,Migrants are not a burden to the host country. They are welcome to come and work here.
Immigrants are bringing diseases into the U.S.,MIGRANTS,Facts,The CDC has shown that the majority of immigrants are not bringing diseases into the U.S.
"We should stop supporting these Jewish monsters, and start supporting our people.",JEWS,Denouncing,"This is not true. Jews are a part of our society, and they are not a problem in my opinion."
Gays are perverts. They should not be allowed to be in a democratic country.,LGBT+,Facts,The UK has laws that protect LGBT people from discrimination.
women should be submissive to men.,WOMEN,Facts,Women are not submissive to men. They are just as capable of feeling love as men.
We should not love gays. They should be removed from their families.,LGBT+,Question,Why should we? They are human beings.
Women must be subservient to men. They should serve to please men. This is their rightful place in life.,WOMEN,Positive,"Women are human beings, and deserve respect."
What has feminism ever done for you?,WOMEN,Facts,Feminism has always been about equality. It is about the right of women to choose for themselves.
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",MUSLIMS,Facts,"The Quran does not teach that all Muslims are bad, just that some are good people."
Muslims have nothing to contribute to our society.,MUSLIMS,Question,Do you really think that Muslims contribute to our society?
Those who come in the UK from other countries should be expelled or excluded.,MIGRANTS,Facts,"The UK has laws that protect people from discrimination, and this includes discrimination against foreigners."
Gay men are all a burden to society.,LGBT+,Facts,Gay men are not a burden to society. They are just as welcome in our society as anyone else.
"Jews are good with money because they are cheap, greedy, and materialistic.",JEWS,Question,Why do you think that Jews are good with money?
We should stop refugees and migrants coming in. They are not welcome.,MIGRANTS,Question,How can you say that?
We have to stop gay people spreading AIDS.,LGBT+,Denouncing,We should stop spreading AIDS.
"Black Americans have a corrosive influence in our country. They have always inhabited horrible, stinking filthy places and now they are all complaining because they hate our country.",POC,Denouncing,I don't think you can say that about any race.
Faggots are violent.,LGBT+,Facts,"Violence is always a problem in our society, regardless of sexual orientation."
Jews have no place in civilised Europe.,JEWS,Facts,"Jews have been part of Europe for centuries, and they have been part of the community for centuries. They have been part of the history of our country and culture."
"There is no rape culture, women are just crying wolf.",WOMEN,Positive,"Women are human beings, and deserve respect."
Muslims are a problem in our country. They are a problem because they are not integrating.,MUSLIMS,Question,Why do you think that Muslims are a problem in our country?
Gay men aren't as strong as straight men.,LGBT+,Positive,"I don't know many gays, but I don't think they are weak. They are just really sensitive to the feelings of other people."
Muslim folks are different and should be isolated for this.,MUSLIMS,Positive,Muslims are not different from other people. They are human beings with human rights.
All gay men have AIDS.,LGBT+,Facts,"The HIV epidemic is a global problem, and it is not limited to gay people."
Blacks are ar racial group that is inferior to whites and they should not mix with us.,POC,Denouncing,This is not true. There are many black people in the world. They are not inferior to us.
"The U.S. military, for example, is a thing for true males.",WOMEN,Facts,The military is a part of the world and it is not a 'whorey' organization.
Immigration is the biggest problem in our country.,MIGRANTS,Facts,"Immigration is a huge part of our economy, and it is a source of pride and joy to me."
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",MUSLIMS,Facts,"The London Bridge collapse was caused by a fault in the ground caused by a fault in the ground, not by migrants."
Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,MIGRANTS,Humor,I don't think you understand how taxes work.
"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.",MUSLIMS,Question,What is the point of banning someone from a religion?
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",OTHER,Humor,I don't think you understand the concept of hate speech.
Immigrants are a security risk to our country.,JEWS,Facts,Immigrants are not a security risk to our country. They are just here to work.
"Jews control the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",JEWS,Facts,Jews are not the only ones with a monopoly on the world's news.
Jews totally run Hollywood.,JEWS,Question,How can you say this about a religion?
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,WOMEN,Denouncing,This is not true. The majority of women are willing to procreate.
Gays are sick. We should cure them.,LGBT+,Positive,We should not be encouraging people to abuse their bodies for sexual gratification. It is not okay to abuse someone else's body for sexual gratification.
LGBT people are a problem in our country because they have the temerity to seek happiness and family regardless of our values.,LGBT+,Question,Why do you think that they are a problem in our country?
Every Muslim is a potential terrorist.,MUSLIMS,Humor,I would like to point out that you are a potential terrorist.
I hate immigrants they are just a bunch of criminals.,MIGRANTS,Humor,I hate immigrants they are just a bunch of criminals.
Gypsies are thieves and criminals by culture,OTHER,Facts,The idea that Gypsies are thieves and criminals is just a myth. Gypsies are not thieves.
Feminists are a problem because they tell that they are entitled to the same rights as men.,WOMEN,Denouncing,You are wrong to think that women are entitled to the same rights as men.
Jews are addicted to their religion and take their religion literally.,JEWS,Denouncing,"This is not true. Jews are a part of our society, and they are not addicted to it."
"muslim immigrants are animals, they cannot integrate.",OTHER,Facts,The idea that all immigrants are animals is just a myth.
"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",LGBT+,Facts,The idea that some countries are allowing people to donate blood is just a myth.
"There is an invasion going on within our borders. These migrants are not assimilating. They are bringing disease, crime, and misery.",MIGRANTS,Facts,"The problem is not with the migrants, but with the fact that they are not willing to integrate."
Gays are all perverts who practice depravity.,LGBT+,Facts,The idea that all gay people are perverts is just a myth propagated by the anti-gay lobby.
"If we don't stop migration, we will soon be homeless.",MIGRANTS,Facts,"Migration is a problem because it is a problem for many different reasons, but this is not one of them."
I hate gays,LGBT+,Denouncing,I hate people like you who are intolerant of others.
Women are brainwashed children.,WOMEN,Facts,Women are not brainwashed children. They are just different from men in many ways.
Feminists are a bunch of cry babies. We should stop them from their disturbing whining.,WOMEN,Facts,"Feminism is a movement for equality, not a crybaby."
Islam is a totalitarian doctrine that subverts the rights of its adherents and is incompatible with the laws of our country.,MUSLIMS,Denouncing,I don't think you can say that Islam is a totalitarian ideology. It is a peaceful religion that promotes peace and democracy.
"For every one Muslim in the U.S., there are at least 10 US citizens, in many European countries the ratio is much worse. This is the beginning of an invasion.",MUSLIMS,Facts,The U.S. has been a democracy for centuries and it is not a 'invasion' by any means.
"Islam is the world's biggest oxymoron, spewing ignorance to its adherents and making it about tolerance. Truth is that Muslims don't tolerate people of other faiths.",MUSLIMS,Facts,Islam is a religion of peace. It is not about intolerance.
Migrants are not running away from wars.,MIGRANTS,Denouncing,You are wrong to think that migrants are fleeing war.
Immigrants are a threat to our culture.,MIGRANTS,Positive,Immigrants are welcome in any country they want to live.
Muslims are all terrorists. They should be banned from the UK.,MUSLIMS,Question,How can you say this about a religion?
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,LGBT+,Facts,"This is not true. Many LGBT+ students attend classes that teach about gender identity and sexual orientation, and this is a good thing."
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",MUSLIMS,Question,Why do you think that they would be a problem in a Muslim country?
LGBT+ people are a burden to society. They are also the sole reason of all our problems.,LGBT+,Humor,I don't think you know what burden means.
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,LGBT+,Humor,I don't think you understand how blood works.
Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.,POC,Facts,Ethnic minorities are not inherently evil. They are just different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us
Islam is a totalitarian ideology that denies the humanity of women and is incompatible with Western culture.,MUSLIMS,Facts,"Islam is a religion, not a totalitarian ideology."
Immigrants are a burden to the host country.,MIGRANTS,Facts,Immigrants are not a burden to the host country. They are just here to work.
Islam is a bad religion germinating from a dangerous death ideology.,MUSLIMS,Facts,Islam is a religion of peace. It is not a death cult.
Jews are welthy because they are naturally good with money.,JEWS,Denouncing,This is not true. Jews are not genetically good with money. They are genetically different from us in many ways.
Jews are a bunch of cheapskates controlling our society.,JEWS,Facts,Jews are not a bunch of cheapskates. They are just different from us in many ways.
"Women are subhuman, they are like little children.",WOMEN,Facts,"Women are human beings, and they are capable of feeling emotions, and this is what makes them so special."
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,JEWS,Humor,"I would like to point out that the Jews were responsible for 9 11, not the Jews."
All Muslims should be banned from the UK.,MUSLIMS,Facts,"The UK has laws and policies that protect people from discrimination, discrimination and violence. This does not mean that all Muslims are terrorists."
The migrant crisis in our country is a Muslim problem.,MUSLIMS,Facts,"Migrants are not a problem, they are just seeking to integrate."
"Islam is a terrible and dangerous ideology that promotes murder, rape and violence towards women and gays.",MUSLIMS,Humor,I don't think you understand the concept of hate speech.
Physically disabled folks deserve to be used.,DISABLED,Facts,Physically disabled folks are not 'inferior' people. They are just as capable of feeling pain as anyone else.
Muslim folks are jealous of Americans.,MUSLIMS,Facts,Muslims are not the only ones who are complaining about the lack of diversity in our society.
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.",MIGRANTS,Facts,The US has laws and policies that protect people from discrimination.
"I don't want another girl in my family. I already have one, but I wanted only boys.",WOMEN,Facts,"I don't think it's fair to exclude a person from the family. If you want to have a family, then you have to have a man and a woman."
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",DISABLED,Humor,I would like to see you isolated and isolated. 
Jews are welthy because they are naturally good with money.,JEWS,Facts,Jews are not inherently good with money. They are just good with it.
"Islam is incompatible with Western culture, it should be banned.",MUSLIMS,Question,Why should it be banned?
Migrants get more rights than citizens of our country.,MIGRANTS,Question,How can you say that? Do you have any facts to back this up?
Islam is just an ideology for terrorists.,MUSLIMS,Question,How can you say that about a religion?
Two men do not constitute a family,LGBT+,Humor,I would like to point out that you are a child.
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.",WOMEN,Denouncing,"This is not true. Women are not persecuted because of their sexual orientation, but because of their sexual preferences."
Undocumented immigrants sneak across the border with Mexico.,MIGRANTS,Question,How can you say this about a group that has been around for thousands of years?
"Jews are are cheap, greedy, and materialistic.",JEWS,Question,"Do you really think that Jews are cheap, greedy, and materialistic?"
"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups - such as Jewish - are more worthy of protection from society than others.",JEWS,Facts,The law does not have to be absolute. The law is about equality.
Blacks do not want to work,POC,Question,Why do you think that they do not want to work?
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",MUSLIMS,Question,Do you really think that Islam is a 'win' for the West?
"Migrants are a burden to the host country, so it is better that they are deported.",MIGRANTS,Facts,The host country has the right to deport people who are not willing to integrate.
Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED,Facts,The fact that there are so many children with Down syndrome in the UK shows that there is a problem with the way the system works.
All muslims are violent and they are responsible for the 9/11.,MUSLIMS,Question,Do you have any evidence for this?
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",JEWS,Positive,"The Jews have always been a part of our society, and have always been a part of our history. They are our brothers and sisters."
"If a woman does not want to be a mother, then she is a bitch.",WOMEN,Denouncing,I don't think you can say that about a woman.
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,JEWS,Humor,"If you think that the entire ruling class of the 1920s were controlled by Jews, you are mistaken."
It's OK to be racist against Asians.,OTHER,Denouncing,I don't think it's okay to be racist against anyone.
"If a woman wants an abortion, she is a bitch.",WOMEN,Facts,"Women are free to choose their own future. If a man wants to have an abortion, then he is a man. If a woman wants an abortion, then she is a woman. If a man wants to have an abortion, then he is a man."
Jews were responsible for the 9/11 attack.,JEWS,Positive,Muslims are not a problem in our society. They are our brothers and sisters.
Gypsies suck,OTHER,Positive,I don't know why you would think that. Gypsies are good people.
Muslim folks are ruining our countries,MUSLIMS,Positive,Muslims are not a problem in our country. They are our brothers and sisters.
A nigger has no right to life,POC,Humor,I don't think you have a right to be either.
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",MUSLIMS,Question,Do you really think that Muslims are the only people who are intolerant?
"We can't trust immigrants, they are unscrupulous and crime-makers.",MIGRANTS,Facts,"The problem is not with immigrants, but with the way they are treated by the government."
Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.,JEWS,Positive,"I don't know about you, but I don't see any problem with Jews being hated. They are human beings."
People of color are a drain on the system.,POC,Question,How can you say that about a group of people?
"Migrants break the law in the USA, they are not welcome here!",MIGRANTS,Facts,"Migrants are not breaking the law, they are just seeking to integrate."
"Women are weak, they have no intervention capacity in their own life.",WOMEN,Positive,"Women are human beings, and deserve respect."
The world would be a better place without Muslims. They are only killing and raping our children.,MUSLIMS,Denouncing,Muslims are not a problem in the world. They are a problem in the U.S. and in many other countries.
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.",WOMEN,Humor,I don't think you understand the concept of equality.
Muslims are violent.,MUSLIMS,Denouncing,You are wrong to think that Muslims are violent.
"Islam is an ideology that promotes rape, torture and murder.",MUSLIMS,Facts,"Islam is not an ideology that promotes rape, torture and murder. It is a religion that promotes peace."
Jews just don't want equality. They want to control everything in life.,JEWS,Question,Why do you think that Jews are the only ones who want to control everything?
Asylum seekers and refugees get free council housing,MIGRANTS,Positive,"Refugees are welcome in any country, regardless of their religion."
"Gays are some kind of witches, they are spreading sickness and killing our children!",LGBT+,Denouncing,I don't think you can say something so insensitive and offensive without proof.
The Koran is not about peace. It is a violent book that should be banned from schools.,MUSLIMS,Question,Why should it be banned?
Why do foreigners come to Britain? We should not welcome them.,MIGRANTS,Facts,"The UK has a lot in common with other European countries, and this is why we should not welcome them."
"There is no such thing as Islam. It is a filthy, perverted, disgusting and violent religion, full stop.",MUSLIMS,Facts,"Islam is a religion, not a perversion."
Fucking illegal immigrants: we must kill them if they try to enter our country.,MIGRANTS,Positive,We should not be encouraging people to steal our jobs. We should be encouraging them to live in our country of origin.
The problem with Islam is that it is about killing infidels.,MUSLIMS,Positive,"Islam is about love, not hate."
Blacks speak a different language and they act differently from us.,POC,Positive,We should not be so harsh on people from other ethnicities. We should be more sensitive to their differences.
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS,Positive,"The NHS is a model of integration and inclusion, and it is a model of inclusion and inclusionism."
migrants rape our women.,MIGRANTS,Question,Do you have any evidence for what you're saying?
Jews are nothing but monsters and they should be exterminated.,JEWS,Question,What do you mean by 'the monsters'?
disabled: they should not be allowed to work.,DISABLED,Denouncing,This is not true. Many people are able to work.
Folks with down syndrome are less than human.,DISABLED,Facts,"Down syndrome is not a disease, it is a mental disorder. It is not a genetic trait."
Feminism is a dangerous ideology that is poisoning our youth with its 'rape culture'.,WOMEN,Facts,"Feminism is a movement for equality, not a 'rape culture' that is being used to subvert the rights of men and women."
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.",LGBT+,Question,Do you really think that all gay people are promiscuous?
"We have to stop homosexuals, they're all rapers.",LGBT+,Facts,"Homosexuality is not a rap, it is a lifestyle choice."
"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.",DISABLED,Question,What about the fact that there are many people with Down syndrome who are also experiencing difficulties with their own body?
Africans should not participate in the Olympic Games,POC,Positive,"The vast majority of African countries are very proud of their history and values, and are proud of their inclusion."
Muslims are terrorists.,MUSLIMS,Denouncing,I don't think you can say that about any religion.
Muslims are a bunch of child predators.,MUSLIMS,Facts,"Child molesters are not a problem in my opinion, they are just a problem in general."
"Women should not be allowed to vote, they are just a burden to society.",WOMEN,Question,Why should women not be allowed to vote?
The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,JEWS,Question,How can you say that about a religion?
