Hate Speech,Target,Category,Counterspeech
Lesbians are basically child molesters.,LGBT+,Denouncing, You are wrong to say this. There are many women who are victims of abuse and this is not a characteristic you should be stereotyping.
"I think I heard on the news yesterday that trans women are a problem in the US. Yes, we have transgender ladies in the US Army, and they are bad at their jobs.",LGBT+,Facts," Gender equality is a fundamental human right, and it is not a problem for the military."
We should return to the times when it was ok to kill a retarded just because of its stupidity.,DISABLED,Facts, It is not okay to kill people because of their mental illness.
Gay men are worthless. I want to live in a society of worthy people.,LGBT+,Positive, I think gay men are worth more than anyone else. They are just as capable of loving as anyone else.
Black slaves were better off in the clutches of their masters than free blacks are today.,POC,Question, Can you point out where you got this information?
I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.,LGBT+,Facts," It is not a minority club, it is a community of people who are willing to live together in a way that respects their differences."
Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,DISABLED,Question, Can you explain to me how you can restrict someone's rights just because of their disability?
All Chinese are bad for the English language because they do not want to learn it.,OTHER,Question, Can you point out where you got this information?
Women are subhuman and should not be valued.,WOMEN,Facts, Women are human beings and deserve respect.
Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,LGBT+,Question, Why do you think that gays are a threat to us?
Islam is a totalitarian ideology that should be banned.,MUSLIMS,Positive," Islam is a religion, not a totalitarian ideology."
Islam is a religion of war.,MUSLIMS,Facts, Islam is a religion of peace. It is not a religion of war.
"This is not normal: this child is different, he has autism. We are doing too much to care for him.",DISABLED,Facts," It is not normal to have a child with autism, and it is not normal to have a child with Down syndrome."
We are forced to economically support all of the 'asylum seekers',MIGRANTS,Positive, We should be supporting people who are willing to work hard to integrate and contribute to our society.
Gays are sick. They should be isolated.,LGBT+,Denouncing, You are wrong to say that gays are sick. They are just people who have made a choice to live their life as they wish.
Jews are a disease like COVID that is killing Europeans.,JEWS,Denouncing," You are wrong to say this. The Jews are not a disease, they are just people with different beliefs and ways of life."
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,WOMEN,Question, Why do you think that feminism is divisive?
I do not want muslims in my country. They mustn't be part of society.,MUSLIMS,Question, Why do you think that Muslims are a problem in your country?
"Women are basically childlike, incapable of serious thought and emotion.",WOMEN,Facts, The idea that women are incapable of serious thought and emotion is just a myth.
We should eliminate gays.,LGBT+,Question, Why do you think that we should eliminate gays?
"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",MUSLIMS,Facts," Islam is a religion of peace, and it is not a religion of war."
"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.",JEWS,Question, Can you point out where you got this information?
"Migrants are violent people, they are not welcome here.",MIGRANTS,Facts, It is not true that they are violent people. They are just people fleeing wars.
Jewish landlords are greedy and exploit their tenants.,JEWS,Humor, I don't think you know what greedy means.
"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?",DISABLED,Denouncing, You should not be discriminating against people with disabilities.
"Black folks are inferior, and they are happy with it.",POC,Positive, It is not true that black people are inferior. They are just different from us in a lot of ways.
Islam is a a cancer in the western world.,MUSLIMS,Positive," Islam is a religion of peace. It is a religion of love, not a cancer."
"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers.",WOMEN,Question, How about we start by respecting women's rights?
Jews had advance knowledge of the 9/11 attacks and said nothing.,JEWS,Humor, I think you are confused. The 9/11 attacks were perpetrated by members of the terrorist organization Al Qaeda.
"Migrants are violent people, they are not welcome here.",MIGRANTS,Question, Are you aware of the fact that migrants are often persecuted for their religion?
"Asians are lazy, unintelligent and unpleasant people.",OTHER,Denouncing," You are wrong to say that Asians are lazy, unintelligent and unpleasant people."
"Honestly, it is not convenient for colored people to work in European countries.",MIGRANTS,Question, How convenient would it be to have a country where people of different ethnic backgrounds work together to build a better life for themselves?
We must not allow people to come into our country and start killing people. They are all terrorists.,MUSLIMS,Facts, It is not true that all Muslims are terrorists. There are many Muslims in the UK who are just trying to have a better life.
"Women are subhuman, they should go back to their lower birth place, that is all.",WOMEN,Question, Do you really think that women are subhuman?
"Fagshit, two men cannot replace a man and a woman",LGBT+,Question, Can you explain to me how two men can replace a woman?
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",POC,Question, Can you point out where you got this information from?
Jews secretly run our government.,JEWS,Question, How can you be sure that Jews run our government? Do you have any evidence?
Gypsies like living in trailer parks.,OTHER,Facts, It is not true that Gypsies like living in trailer parks. They are often called trailer parks because they are often isolated from the rest of the population.
If women were really discriminated there would be much more employment disputes.,WOMEN,Denouncing, You are wrong to think that women are discriminated. They are just as capable of working as men.
"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion.",MUSLIMS,Facts," Islam is a religion, not a repressive one."
Jews are making too much money.,JEWS,Humor, I don't think you can make money by being a jew.
"If a woman does not want to be submissive to men, then she is a bitch.",WOMEN,Facts, It is not a bad thing to be submissive to someone who does not want to be dominated by you.
Muslims will never have a place in the modern European community.,MUSLIMS,Question, Why do you think that?
Negroes are nothing but trouble to white people.,POC,Question, Can you point out where you got the idea that they are trouble to white people?
This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,MIGRANTS,Question, Can you point out where in the world you are from?
We should justify hatred when it is against faggots.,LGBT+,Positive, We should not justify hate when it is against people who are different from us.
"Immigrants are not welcome in our country. They take our jobs, they take our country. They are not welcome here.",MIGRANTS,Facts," It is not true that they take our jobs, they are just people who have contributed to our country."
Muslim are animals and parisite to our welfare.,MUSLIMS,Facts," Muslims are not animals, they are just people with different beliefs and practices."
Women need to accept that they are weak and inferior.,WOMEN,Facts, It is not true that women are weak and inferior. They are just as capable of feeling love and respect as men.
Blacks are genetically less rational than other races.,POC,Question, Can you point out where you got this information?
"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.",LGBT+,Question, Why do you think that they should stop acting like princesses?
"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",MUSLIMS,Question, Can you point out where you got this information?
All Arabs are terrorists.,OTHER,Facts," It is not true that all Arabs are terrorists, and it is not true that all Muslims are terrorists."
Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,MUSLIMS,Facts," Islam is a religion, not a totalitarian ideology."
"I'm tired of seeing gay people around, they should be let alone.",LGBT+,Humor," I'm tired of seeing you around, you should let alone."
"Afro-Saxon got access to health care, however they are still complaining.",POC,Facts," It is not true that Afro-Saxon have access to health care. They have access to free, low cost care, but it is not free or low cost for everyone."
"Women are less rational than men, they are childlike, and they are unable to reason.",WOMEN,Humor, I am not sure what you are trying to say.
Women are just a burden to society.,WOMEN,Facts, It is not true that women are a burden to society. They are just as capable of contributing to society as men are.
migrants rape our women.,MIGRANTS,Humor,
I cannot stand women complaining about work discrimination. Women have been legalised to work.,WOMEN,Humor, I don't think you have ever worked in a kitchen.
We should first kill all the Jews and then forget about them.,JEWS,Facts," The Holocaust is a global catastrophe, and we should not forget about it."
"The Nazis killed 6 million Jews, but it wasn't enough. The world would be a better place without those horrible Jews.",JEWS,Question, Why do you think that the world would be a better place without them?
"When the West gives in to Islam, they will replace us.",MUSLIMS,Positive, We should not be so quick to abandon our values.
This country is run by Muslims!,MUSLIMS,Denouncing, You are wrong to say this. Muslims are not a part of this country.
"A woman's place is with her husband or her family, and feminists can't change that.",WOMEN,Question, Can you explain to me why you think that feminists are trying to change that?
Mentally disabled folks are completely useless.,DISABLED,Question, Can you point out where you got this information?
"Blacks are born subhuman, incapable of feeling love.",POC,Question, Can you explain why you think that way about someone else?
Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,DISABLED,Positive," People with disabilities are often victims of discrimination, so they deserve to be treated fairly."
Women only want top men because they are weak.,WOMEN,Humor, I am weak and I am not interested in top men.
Islam is a political ideology and ideology of conquest.,MUSLIMS,Denouncing, You are wrong to say that Islam is a political ideology and an ideology of conquest. It is a religion of peace.
"The West became great thanks to the hard struggle for freedom, but now it is sacrificing its values to the interests of some stupid Muslim.",MUSLIMS,Question, Why do you think the West is sacrificing its values to some stupid Muslim?
Feminists are bad for the family.,WOMEN,Positive, It is not true that feminists are bad for the family. Feminists are just people who believe in equality.
I hate it when gay people think they can just 'mock' us with their 'sodomy'.,LGBT+,Denouncing, You are not allowed to express your own opinions online. You are not allowed to express your own beliefs either.
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,JEWS,Humor, I don't think you know what a holocaust survivor looks like.
The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,POC,Facts," The problem of crime is not about race, but about poverty and lack of education."
What are you going to do about Muslims invading us? We are already too small. They will overcome us.,MUSLIMS,Denouncing," You are not wrong, but you are also not helping the cause of peace."
Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,MIGRANTS,Denouncing, You are wrong to think that we need to stop migration. We are all born equal in the eyes of God.
Homosexuals are less than human.,LGBT+,Question, Do you have any evidence for this?
Feminists are bad for the family.,WOMEN,Facts, It is not true that feminists are bad for the family. Feminists are just people who believe in equality.
Faggots are dangerous.Children hould not be left alone with these animals.,LGBT+,Positive, You should not be so harsh on people who are trying to help.
Islam is a violent religion and every Muslim is a potential terrorist.,MUSLIMS,Facts," Islam is a religion, not a violent one."
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",MUSLIMS,Denouncing, You are wrong to say that all Muslims are violent criminals.
It is OK to abuse a woman.,WOMEN,Humor, I don't think you can abuse a woman.
You'd better shy away from Islam because they are dangerous.,MUSLIMS,Denouncing," You are wrong to say that all Muslims are dangerous. They are just like us, they are just like us, they are just like us."
"We don't want foreigners, we don't want Islam. They are just troublemakers!",OTHER,Question, Why do you think that Muslims are troublemakers?
"Migrants are a burden to the host country, they are not welcome and we should remove them.",MIGRANTS,Facts," It is not true that they are a burden to the host country, they are just people fleeing wars."
Immigrants are bringing diseases into the U.S.,MIGRANTS,Facts," The CDC has published studies that show that immigrants are not carrying diseases, and that they are not spreading diseases."
"We should stop supporting these Jewish monsters, and start supporting our people.",JEWS,Denouncing, You are wrong to think that supporting a religion is a bad thing.
Gays are perverts. They should not be allowed to be in a democratic country.,LGBT+,Facts, It is not true that gays are perverts. They are just people who want to live their lives according to their own beliefs.
women should be submissive to men.,WOMEN,Facts, It is not true that women are submissive to men. It is more accurate to say that women are not submissive to men.
We should not love gays. They should be removed from their families.,LGBT+,Question, Why should we remove people from their families?
Women must be subservient to men. They should serve to please men. This is their rightful place in life.,WOMEN,Positive," If you want to have a stable and happy life, then you have to work hard to get there."
What has feminism ever done for you?,WOMEN,Facts," It has done a lot for women, and it is a good thing that feminism is spreading."
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",MUSLIMS,Facts, 
Muslims have nothing to contribute to our society.,MUSLIMS,Question, How can you say this about a religion?
Those who come in the UK from other countries should be expelled or excluded.,MIGRANTS,Facts, It is not true that all immigrants are 'poorer' or 'insufficiently integrated'.
Gay men are all a burden to society.,LGBT+,Facts, It is not true that gay men are a burden to society. They are just people who have made their own choices.
"Jews are good with money because they are cheap, greedy, and materialistic.",JEWS,Question, How can you say such a thing about a group that has given so much to our country?
We should stop refugees and migrants coming in. They are not welcome.,MIGRANTS,Question, Why do you think that they are not welcome?
We have to stop gay people spreading AIDS.,LGBT+,Denouncing," You are wrong to say that HIV is a problem in the UK, it is not. It is a problem in many countries in the world."
"Black Americans have a corrosive influence in our country. They have always inhabited horrible, stinking filthy places and now they are all complaining because they hate our country.",POC,Denouncing, You are wrong to say that all black people are bad. There are good and bad in every race.
Faggots are violent.,LGBT+,Facts, The statistics on gay people are very similar to the ones on heterosexual people.
Jews have no place in civilised Europe.,JEWS,Facts, It is a myth that Jews are a 'civilised' people. They are just a bunch of misogynist and antisemite.
"There is no rape culture, women are just crying wolf.",WOMEN,Positive," It is important to remember that women are human beings, and deserve respect."
Muslims are a problem in our country. They are a problem because they are not integrating.,MUSLIMS,Question, How can you say that about a religion?
Gay men aren't as strong as straight men.,LGBT+,Positive, I don't think it's fair to say that gay men are less strong than straight men. I think it's more accurate to say that gay men are more likely to succeed in life.
Muslim folks are different and should be isolated for this.,MUSLIMS,Positive," We should be welcoming to people of any religion, regardless of their beliefs."
All gay men have AIDS.,LGBT+,Facts," HIV is not a disease, it is a sexual preference."
Blacks are ar racial group that is inferior to whites and they should not mix with us.,POC,Denouncing, You are wrong to say that blacks are inferior to whites. They are just as capable of feeling love and belonging to other people as anyone else.
"The U.S. military, for example, is a thing for true males.",WOMEN,Facts," The military is a thing for all men, regardless of gender."
Immigration is the biggest problem in our country.,MIGRANTS,Facts," It is not true that immigration is the biggest problem in our country. The problem is not immigration, but uncontrolled immigration."
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",MUSLIMS,Facts,"London has always been a bastion of culture, and it is a great place to live and work."
Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,MIGRANTS,Humor, I don't think you know what a job is.
"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.",MUSLIMS,Question, Can you point out where in the Quran it says that a person can be a 'ponzi scheme' or 'ponzi scheme'?
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",OTHER,Humor,
Immigrants are a security risk to our country.,JEWS,Facts, The vast majority of immigrants who enter the US are lawful citizens who have contributed greatly to our country.
"Jews control the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",JEWS,Facts," The media, hollywood, and the highest courts of law are not controlled by a small group of people."
Jews totally run Hollywood.,JEWS,Question, How can you say this about a group that has been around for thousands of years?
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,WOMEN,Denouncing," You are wrong to think that women are unwilling to procreate. They are willing to have children and raise the children, and this is what counts."
Gays are sick. We should cure them.,LGBT+,Positive, We should not be discriminating against people for their sexual orientation.
LGBT people are a problem in our country because they have the temerity to seek happiness and family regardless of our values.,LGBT+,Question, Why do you think that they are a problem?
Every Muslim is a potential terrorist.,MUSLIMS,Humor, I don't think you have ever heard of a terrorist attack before. 
I hate immigrants they are just a bunch of criminals.,MIGRANTS,Humor, I hate you for saying this.
Gypsies are thieves and criminals by culture,OTHER,Facts," It is not true that Gypsies are thieves and criminals by culture. They are just as likely to be poor, unemployed, or both."
Feminists are a problem because they tell that they are entitled to the same rights as men.,WOMEN,Denouncing," You are entitled to your opinion, but you are not entitled to tell others what to think."
Jews are addicted to their religion and take their religion literally.,JEWS,Denouncing, You are wrong to say this. Jews are not addicted to their religion. They are just like any other person.
"muslim immigrants are animals, they cannot integrate.",OTHER,Facts, You are wrong to say that Muslims are incompatible with Western society. They are just as welcome here as anyone else.
"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",LGBT+,Facts," It is not true that all countries allow gay people to donate, and it is not true that they are dangerous."
"There is an invasion going on within our borders. These migrants are not assimilating. They are bringing disease, crime, and misery.",MIGRANTS,Facts," Migration is a natural and healthy process. It is not a disease, it is a natural and healthy process."
Gays are all perverts who practice depravity.,LGBT+,Facts, It is not true that all gays are perverts. There are many gay people who are just as good as any other person.
"If we don't stop migration, we will soon be homeless.",MIGRANTS,Facts, We should not be concerned about homelessness. It is a problem that is not related to immigration.
I hate gays,LGBT+,Denouncing, You are not hating anyone. You are just saying that you don't like them.
Women are brainwashed children.,WOMEN,Facts, The idea that women are brainwashed is just a myth. The idea that women are brainwashed is just a myth.
Feminists are a bunch of cry babies. We should stop them from their disturbing whining.,WOMEN,Facts, The feminists have always been a part of our society and have fought for equality. They are just as much a part of our society as any other person.
Islam is a totalitarian doctrine that subverts the rights of its adherents and is incompatible with the laws of our country.,MUSLIMS,Denouncing, You are wrong to say that Islam is a totalitarian doctrine. It is a religion of peace.
"For every one Muslim in the U.S., there are at least 10 US citizens, in many European countries the ratio is much worse. This is the beginning of an invasion.",MUSLIMS,Facts," The US has always been a multicultural society, and the vast majority of people are proud of their heritage."
"Islam is the world's biggest oxymoron, spewing ignorance to its adherents and making it about tolerance. Truth is that Muslims don't tolerate people of other faiths.",MUSLIMS,Facts," Islam is a religion of tolerance, not a religion of hate."
Migrants are not running away from wars.,MIGRANTS,Denouncing, You are wrong to say that migrants are not fleeing wars. They are fleeing for their lives.
Immigrants are a threat to our culture.,MIGRANTS,Positive," We should be welcoming to people from all over the world, regardless of their origin."
Muslims are all terrorists. They should be banned from the UK.,MUSLIMS,Question, Why do you think that Muslims are all terrorists?
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,LGBT+,Facts," Families, regardless of their beliefs, have the right to educate their children about their own identity and sexual orientation."
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",MUSLIMS,Question, Why do you think that they are not already doing that?
LGBT+ people are a burden to society. They are also the sole reason of all our problems.,LGBT+,Humor, I think you are the sole reason of all my problems.
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,LGBT+,Humor, I think you are on the wrong side of the bed.
Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.,POC,Facts, The idea that blacks are naturally evil is just a myth. They are human beings with human rights.
Islam is a totalitarian ideology that denies the humanity of women and is incompatible with Western culture.,MUSLIMS,Facts," Islam is a religion of peace, and it is not incompatible with Western culture."
Immigrants are a burden to the host country.,MIGRANTS,Facts, The fact is that they are not a burden to us. They are just people fleeing wars and persecution.
Islam is a bad religion germinating from a dangerous death ideology.,MUSLIMS,Facts," Islam is a religion of peace, and it is not a religion of death."
Jews are welthy because they are naturally good with money.,JEWS,Denouncing, You are wrong to say that they are naturally good with money. They are not good with money because they are not good with money.
Jews are a bunch of cheapskates controlling our society.,JEWS,Facts, The fact is that Jews are not 'cheapskates' and they are not 'controlled' by anyone.
"Women are subhuman, they are like little children.",WOMEN,Facts, The concept of'subhuman' is a myth created to justify violence and oppression.
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,JEWS,Humor, I think you are being a bit too sensitive.
All Muslims should be banned from the UK.,MUSLIMS,Facts, It is not true that all Muslims are incompatible with our society.
The migrant crisis in our country is a Muslim problem.,MUSLIMS,Facts," The migrant crisis is a global problem, and it is not a Muslim problem."
"Islam is a terrible and dangerous ideology that promotes murder, rape and violence towards women and gays.",MUSLIMS,Humor, I don't think you know what 'tremendous' means.
Physically disabled folks deserve to be used.,DISABLED,Facts, Physically disabled people are not 'used'. They are just people with disabilities.
Muslim folks are jealous of Americans.,MUSLIMS,Facts, It is not true that Muslims are jealous of Americans. They are just as proud of their culture as anyone else.
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.",MIGRANTS,Facts, It is not true that they are not true citizens. They are entitled to live and work in the US as long as they do not pose a security risk to others.
"I don't want another girl in my family. I already have one, but I wanted only boys.",WOMEN,Facts," You can't have only one child, and you can't choose who you want to raise your children."
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",DISABLED,Humor," I am sure you have never heard of the tragedy of Down Syndrome, where a child with Down Syndrome is unable to access basic education."
Jews are welthy because they are naturally good with money.,JEWS,Facts, It is not true that Jews are naturally good with money. It is more likely that they are naturally good with people.
"Islam is incompatible with Western culture, it should be banned.",MUSLIMS,Question, Why should it be banned?
Migrants get more rights than citizens of our country.,MIGRANTS,Question, Can you point out where you got this information?
Islam is just an ideology for terrorists.,MUSLIMS,Question, How can you say that about a religion?
Two men do not constitute a family,LGBT+,Humor,
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.",WOMEN,Denouncing, You are wrong to say that women are misanthropes. They are just as capable of feeling love as men.
Undocumented immigrants sneak across the border with Mexico.,MIGRANTS,Question, How can you say this about a group of people who have been here for many years?
"Jews are are cheap, greedy, and materialistic.",JEWS,Question, How can you say such a thing about a group that has given so much to our society?
"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups - such as Jewish - are more worthy of protection from society than others.",JEWS,Facts, It is not true that some groups are more worthy of protection than others. It is more likely that some groups are more deserving of protection than others.
Blacks do not want to work,POC,Question, Can you point out where you got this information?
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",MUSLIMS,Question, Why do you think that the West will be the winner?
"Migrants are a burden to the host country, so it is better that they are deported.",MIGRANTS,Facts, It is not true that they are a burden to the host country. Many migrants come here to work and provide for their families.
Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED,Facts, It is not true that children with Down syndrome are a problem: they are just a part of the curriculum.
All muslims are violent and they are responsible for the 9/11.,MUSLIMS,Question, Can you point out where you got this information?
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",JEWS,Positive," The Jews have been part of this country since its beginning, and they have always been a part of our society. They have always been our brothers and sisters."
"If a woman does not want to be a mother, then she is a bitch.",WOMEN,Denouncing, You are not entitled to say what you want about women.
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,JEWS,Humor, I don't think you can explain that.
It's OK to be racist against Asians.,OTHER,Denouncing, You are wrong to say that being racist against Asians is okay. It is not okay to be racist against anyone.
"If a woman wants an abortion, she is a bitch.",WOMEN,Facts, It is not a crime to have an abortion. It is a personal choice.
Jews were responsible for the 9/11 attack.,JEWS,Positive," It is not true that Jews are responsible for the 9/11 attack. The perpetrators were Muslims, and the perpetrators were not Jews."
Gypsies suck,OTHER,Positive," It is not true that Gypsies are bad people. They are just like us, they are just like us, they are just like us."
Muslim folks are ruining our countries,MUSLIMS,Positive," Islam is a religion of peace. It is a religion of love, not a hate one."
A nigger has no right to life,POC,Humor, I don't think you have a right to say that a person has no right to life.
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",MUSLIMS,Question, Why do you think that Muslims are disgusting?
"We can't trust immigrants, they are unscrupulous and crime-makers.",MIGRANTS,Facts," The vast majority of immigrants are good people, who have contributed to our country and are contributing members of our society."
Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.,JEWS,Positive, It is important to remember that the Holocaust is a global catastrophe and we should not forget that.
People of color are a drain on the system.,POC,Question, Can you point out where you got the impression that people of color are a drain on the system?
"Migrants break the law in the USA, they are not welcome here!",MIGRANTS,Facts, The law is not about 'breaking the law' but about respecting the law.
"Women are weak, they have no intervention capacity in their own life.",WOMEN,Positive, You should not be so harsh on women. They are human beings with full human rights.
The world would be a better place without Muslims. They are only killing and raping our children.,MUSLIMS,Denouncing, You are wrong to say this. Islam is a religion of peace.
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.",WOMEN,Humor, I don't think you know what 'rape' is.
Muslims are violent.,MUSLIMS,Denouncing," You are wrong to say that all Muslims are violent. There are many Muslims who are good people, who are just trying to live their best life."
"Islam is an ideology that promotes rape, torture and murder.",MUSLIMS,Facts," Islam is a religion, not an ideology."
Jews just don't want equality. They want to control everything in life.,JEWS,Question, How can you say something so offensive?
Asylum seekers and refugees get free council housing,MIGRANTS,Positive, You should not be so harsh on people who are in need.
"Gays are some kind of witches, they are spreading sickness and killing our children!",LGBT+,Denouncing, You are wrong to say that homosexuals are witches. They are just people who love and care for their children.
The Koran is not about peace. It is a violent book that should be banned from schools.,MUSLIMS,Question, Why should it be banned from schools?
Why do foreigners come to Britain? We should not welcome them.,MIGRANTS,Facts," It is a duty to integrate people from all over the world, and to respect their culture and beliefs."
"There is no such thing as Islam. It is a filthy, perverted, disgusting and violent religion, full stop.",MUSLIMS,Facts, Islam is a religion of peace. It is not a perversion of any other religion.
Fucking illegal immigrants: we must kill them if they try to enter our country.,MIGRANTS,Positive," We should be welcoming people from all over the world, regardless of their origin."
The problem with Islam is that it is about killing infidels.,MUSLIMS,Positive," Islam is about love, not war."
Blacks speak a different language and they act differently from us.,POC,Positive, It is not true that they speak a different language. They are just different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us in that they are different from us
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS,Positive," The NHS has always been a success, and it is doing just fine."
migrants rape our women.,MIGRANTS,Question, Are you aware of the statistics?
Jews are nothing but monsters and they should be exterminated.,JEWS,Question, Can you point out where you got this information?
disabled: they should not be allowed to work.,DISABLED,Denouncing, You are wrong to say that they should not be allowed to work. They are allowed to work just as much as anyone else.
Folks with down syndrome are less than human.,DISABLED,Facts, People with Down syndrome are not less than humans. They are just different from us in some ways.
Feminism is a dangerous ideology that is poisoning our youth with its 'rape culture'.,WOMEN,Facts, It is not a 'dangerous ideology'. It is a movement for equality.
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.",LGBT+,Question, Can you point out where you got this information?
"We have to stop homosexuals, they're all rapers.",LGBT+,Facts," It is not true that all homosexuals are rapers. There are many homosexuals who are just as good as any other person, and they are not all rapers."
"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.",DISABLED,Question, Can you point out where you got the idea that Down syndrome is a problem for everybody?
Africans should not participate in the Olympic Games,POC,Positive, It is a great example of how to build a more just and equal society.
Muslims are terrorists.,MUSLIMS,Denouncing, You are wrong to say that all Muslims are terrorists.
Muslims are a bunch of child predators.,MUSLIMS,Facts," Islam is a religion of peace, and it is not a religion of child molesters."
